artist,songname,sectiontype,filename
a boogie wit da hoodie,drowning,intro,data/Drowning.json
a certain mushroom,imma-write-a-song,instrumental,data/Imma Write A song.json
a day to remember,downfall-of-us-all,intro-and-verse,data/Downfall Of Us All.json
a day to remember,downfall-of-us-all,pre-chorus-and-chorus,data/Downfall Of Us All-2.json
a do,dark,verse,data/Dark.json
a do,dark,pre-chorus,data/Dark-2.json
a do,dark,chorus,data/Dark-3.json
a do,he-loves-you-very-much,verse,data/He Loves You Very Much.json
a do,he-loves-you-very-much,pre-chorus,data/He Loves You Very Much-2.json
a do,he-loves-you-very-much,chorus,data/He Loves You Very Much-3.json
a do,persevere,verse,data/Persevere.json
a do,persevere,chorus,data/Persevere-2.json
a do,persevere,bridge,data/Persevere-3.json
a flock of seagulls,i-ran-%28so-far-away%29,verse,data/I Ran (So Far Away).json
a flock of seagulls,i-ran-%28so-far-away%29,chorus,data/I Ran (So Far Away)-2.json
a g cook,silver,bridge,data/Silver.json
a g cook,superstar,pre-chorus,data/Superstar.json
a g cook,superstar,pre-chorus-and-chorus,data/Superstar-2.json
a g cook,superstar,chorus,data/Superstar-3.json
a g cook,superstar,bridge,data/Superstar-4.json
a great big world,say-something,intro,data/Say Something.json
a great big world,say-something,intro-and-verse,data/Say Something-2.json
a great big world,say-something,verse,data/Say Something-3.json
a great big world,say-something,chorus,data/Say Something-4.json
a ha,take-on-me,intro,data/Take on Me.json
a ha,take-on-me,intro-and-verse,data/Take On Me-2.json
a ha,take-on-me,verse-and-pre-chorus,data/Take on Me-3.json
a ha,take-on-me,chorus,data/Take On Me-4.json
a ha,take-on-me,bridge,data/Take On Me-5.json
a ha,the-sun-always-shines-on-tv,intro,data/The Sun Always Shines On TV.json
a ha,the-sun-always-shines-on-tv,chorus,data/The Sun Always Shines On TV-2.json
a ha,the-sun-always-shines-on-tv,bridge,data/The Sun Always Shines On TV-3.json
a ha,the-sun-always-shines-on-tv,solo,data/The Sun Always Shines On TV-4.json
a ha,you-are-the-one,intro,data/You Are the One.json
a ha,you-are-the-one,verse-and-pre-chorus,data/You Are the One-2.json
a ha,you-are-the-one,chorus,data/You Are the One-3.json
a ha,you-are-the-one,bridge,data/You Are the One-4.json
a lin,a-kind-of-sorrow,verse,
a lin,a-kind-of-sorrow,chorus,data/A Kind of Sorrow-2.json
a lin,a-kind-of-sorrow,bridge,data/A Kind of Sorrow-3.json
a lin,absurd,verse,data/Absurd.json
a lin,absurd,chorus,data/Absurd-2.json
a lin,absurd,bridge,data/Absurd-3.json
a lin,best-friend,verse,data/Best Friend.json
a lin,best-friend,chorus,data/Best Friend-2.json
a lin,best-friend,bridge,data/Best Friend-3.json
a lin,forget-love,verse,data/Forget Love.json
a lin,forget-love,chorus,data/Forget Love-2.json
a lin,forget-love,bridge,data/Forget Love-3.json
a lin,give-me-a-reason-to-forget,verse,
a lin,give-me-a-reason-to-forget,pre-chorus,data/Give Me a Reason to Forget-2.json
a lin,give-me-a-reason-to-forget,chorus,data/Give Me a Reason to Forget-3.json
a lin,good-friends-blessing,verse,data/Good Friend's Blessing.json
a lin,good-friends-blessing,chorus,data/Good Friend's Blessing-2.json
a lin,guilt,verse,data/Guilt.json
a lin,guilt,chorus,data/Guilt-2.json
a lin,guilt,outro,data/Guilt-3.json
a lin,lovelorn-not-guilty,verse,
a lin,lovelorn-not-guilty,chorus,data/Lovelorn Not Guilty-2.json
a lin,more-than-sorrow,verse,
a lin,more-than-sorrow,chorus,data/More Than Sorrow-2.json
a love like pi,heavens-halberd,verse,data/Heaven's Halberd.json
a lovely war,autumn-leaves-us-blue,intro,
a lovely war,autumn-leaves-us-blue,verse-and-pre-chorus,data/Autumn Leaves Us Blue-2.json
a lovely war,autumn-leaves-us-blue,chorus,data/Autumn Leaves Us Blue-3.json
a mei,depressed,verse,data/Depressed.json
a mei,depressed,chorus,data/Depressed-2.json
a mei,disappear,verse,data/Disappear.json
a mei,disappear,chorus,data/Disappear-2.json
a mei,disappear,bridge,data/Disappear-3.json
a mei,full-name,verse,data/Full Name.json
a mei,full-name,pre-chorus,data/Full Name-2.json
a mei,full-name,chorus,data/Full Name-3.json
a mei,have-you-heard-lately,verse,data/Have You Heard Lately.json
a mei,have-you-heard-lately,pre-chorus,data/Have You Heard Lately-2.json
a mei,have-you-heard-lately,chorus,data/Have You Heard Lately-3.json
a mei,hostage,verse,data/Hostage.json
a mei,hostage,chorus,data/Hostage-2.json
a mei,i-want-happiness,verse,data/I Want Happiness.json
a mei,i-want-happiness,pre-chorus,data/I Want Happiness-2.json
a mei,i-want-happiness,chorus,data/I Want Happiness-3.json
a mei,left-behind,verse,data/Left Behind.json
a mei,left-behind,pre-chorus,data/Left Behind-2.json
a mei,left-behind,chorus,data/Left Behind-3.json
a mei,left-behind,bridge,data/Left Behind-4.json
a mei,listen-to-the-sea,verse,
a mei,listen-to-the-sea,chorus,data/Listen to the Sea-2.json
a mei,matriarchy,verse,data/Matriarchy.json
a mei,matriarchy,pre-chorus,data/Matriarchy-2.json
a mei,matriarchy,chorus,data/Matriarchy-3.json
a mei,maybe-tomorrow,verse,data/Maybe Tomorrow.json
a mei,maybe-tomorrow,pre-chorus,data/Maybe Tomorrow-2.json
a mei,maybe-tomorrow,chorus,data/Maybe Tomorrow-3.json
a mei,my-dearest,verse,data/My Dearest.json
