original_link,section,link
https://www.hooktheory.com/theorytab/view/a-boogie-wit-da-hoodie/drowning,intro,https://hookpad.hooktheory.com?idOfSong=LAgQdLnAmyO&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-certain-mushroom/imma-write-a-song,instrumental,https://hookpad.hooktheory.com?idOfSong=nvgyqqMZgkA&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-day-to-remember/downfall-of-us-all,intro-and-verse,https://hookpad.hooktheory.com?idOfSong=dPoDPqNRonM&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-day-to-remember/downfall-of-us-all,pre-chorus-and-chorus,https://hookpad.hooktheory.com?idOfSong=nJmBVrWkmAV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-do/dark,verse,https://hookpad.hooktheory.com?idOfSong=RzojbJbnoDe&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-do/dark,pre-chorus,https://hookpad.hooktheory.com?idOfSong=YAg-lNlAmle&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-do/dark,chorus,https://hookpad.hooktheory.com?idOfSong=QLgnwKwZx-V&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-do/he-loves-you-very-much,verse,https://hookpad.hooktheory.com?idOfSong=JNgqkjOWorz&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-do/he-loves-you-very-much,pre-chorus,https://hookpad.hooktheory.com?idOfSong=zngRyeKMmJj&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-do/he-loves-you-very-much,chorus,https://hookpad.hooktheory.com?idOfSong=nLgaKPJ_oYp&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-do/persevere,verse,https://hookpad.hooktheory.com?idOfSong=d_gwqdXroGV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-do/persevere,chorus,https://hookpad.hooktheory.com?idOfSong=JkmZDnOaxqn&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-do/persevere,bridge,https://hookpad.hooktheory.com?idOfSong=ZwxKDGBwoed&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-flock-of-seagulls/i-ran-%28so-far-away%29,verse,https://hookpad.hooktheory.com?idOfSong=LAgQPeXemyO&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-flock-of-seagulls/i-ran-%28so-far-away%29,chorus,https://hookpad.hooktheory.com?idOfSong=ZwxK_zKDxed&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-g-cook/silver,bridge,https://hookpad.hooktheory.com?idOfSong=d_gwpwWexGV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-g-cook/superstar,pre-chorus,https://hookpad.hooktheory.com?idOfSong=AaoGelNzgeQ&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-g-cook/superstar,pre-chorus-and-chorus,https://hookpad.hooktheory.com?idOfSong=bWgMyldXglX&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-g-cook/superstar,chorus,https://hookpad.hooktheory.com?idOfSong=DpgvLzyaoad&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-g-cook/superstar,bridge,https://hookpad.hooktheory.com?idOfSong=ZOxVknGAodq&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-great-big-world/say-something,intro,https://hookpad.hooktheory.com?idOfSong=jDgXQ_WExKl&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-great-big-world/say-something,intro-and-verse,https://hookpad.hooktheory.com?idOfSong=bWgMwzZKolX&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-great-big-world/say-something,verse,https://hookpad.hooktheory.com?idOfSong=QLgnGlbEx-V&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-great-big-world/say-something,chorus,https://hookpad.hooktheory.com?idOfSong=nZgWJjj_mry&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/take-on-me,intro,https://hookpad.hooktheory.com?idOfSong=DpgvaqGdmad&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/take-on-me,intro-and-verse,https://hookpad.hooktheory.com?idOfSong=zngRElOEmJj&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/take-on-me,verse-and-pre-chorus,https://hookpad.hooktheory.com?idOfSong=ROmNeyQAoNw&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/take-on-me,chorus,https://hookpad.hooktheory.com?idOfSong=bWgMQJ-zglX&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/take-on-me,bridge,https://hookpad.hooktheory.com?idOfSong=WeglMbnvxrY&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/the-sun-always-shines-on-tv,intro,https://hookpad.hooktheory.com?idOfSong=JNgqKVvnorz&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/the-sun-always-shines-on-tv,chorus,https://hookpad.hooktheory.com?idOfSong=nvgyAnjXgkA&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/the-sun-always-shines-on-tv,bridge,https://hookpad.hooktheory.com?idOfSong=KexEvALKo_B&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/the-sun-always-shines-on-tv,solo,https://hookpad.hooktheory.com?idOfSong=JNgqlDkwmrz&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/you-are-the-one,intro,https://hookpad.hooktheory.com?idOfSong=ZwxKDkbZoed&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/you-are-the-one,verse-and-pre-chorus,https://hookpad.hooktheory.com?idOfSong=d_gwqEkeoGV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/you-are-the-one,chorus,https://hookpad.hooktheory.com?idOfSong=kygzzaQBgKB&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-ha/you-are-the-one,bridge,https://hookpad.hooktheory.com?idOfSong=DpgvRqRRgad&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/a-kind-of-sorrow,verse,https://hookpad.hooktheory.com?idOfSong=RzojpzjkgDe&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/a-kind-of-sorrow,chorus,https://hookpad.hooktheory.com?idOfSong=jDgXAzenxKl&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/a-kind-of-sorrow,bridge,https://hookpad.hooktheory.com?idOfSong=QLgnpJQ_o-V&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/absurd,verse,https://hookpad.hooktheory.com?idOfSong=DpgvYAqRmad&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/absurd,chorus,https://hookpad.hooktheory.com?idOfSong=RPxevAWAob_&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/absurd,bridge,https://hookpad.hooktheory.com?idOfSong=RzojbAqLoDe&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/best-friend,verse,https://hookpad.hooktheory.com?idOfSong=JkmZDyDJxqn&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/best-friend,chorus,https://hookpad.hooktheory.com?idOfSong=ZwxKDeDVoed&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/best-friend,bridge,https://hookpad.hooktheory.com?idOfSong=ROmNDbDzxNw&amp;enableYouTube=false&amp;openBandEditorOnInit=true
